,Time,1,2,3,4,5,6
S/N,,720319,720319,720319,720319,720319,720319
Type,,TGP-4500,TGP-4500,TGP-4500,TGP-4500,TGP-4500,TGP-4500
Description,,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001
Property,,Maximum Temperature,Temperature,Minimum Temperature,Maximum Humidity,Humidity,Minimum Humidity
1007,2014-07-24 18:39:46,35.743 °C,35.690 °C,35.690 °C,30.1 %RH,30.1 %RH,30.1 %RH
1008,2014-07-24 18:40:16,35.688 °C,35.638 °C,35.635 °C,30.1 %RH,30.1 %RH,30.1 %RH
1009,2014-07-24 18:40:46,35.638 °C,35.582 °C,35.580 °C,30.1 %RH,30.1 %RH,30.1 %RH
1010,2014-07-24 18:41:16,35.580 °C,35.528 °C,35.528 °C,30.1 %RH,30.1 %RH,30.1 %RH
1011,2014-07-24 18:41:46,35.525 °C,35.470 °C,35.470 °C,30.1 %RH,30.1 %RH,30.1 %RH
1012,2014-07-24 18:42:16,35.469 °C,35.419 °C,35.419 °C,30.1 %RH,30.1 %RH,30.1 %RH
1013,2014-07-24 18:42:46,35.416 °C,35.369 °C,35.367 °C,30.1 %RH,30.1 %RH,30.1 %RH
1014,2014-07-24 18:43:16,35.367 °C,35.311 °C,35.311 °C,30.1 %RH,30.1 %RH,30.1 %RH
1015,2014-07-24 18:43:46,35.311 °C,35.261 °C,35.261 °C,30.3 %RH,30.1 %RH,30.1 %RH
1016,2014-07-24 18:44:16,35.253 °C,35.208 °C,35.206 °C,30.3 %RH,30.3 %RH,30.1 %RH
1017,2014-07-24 18:44:46,35.205 °C,35.149 °C,35.149 °C,30.3 %RH,30.3 %RH,30.3 %RH
1018,2014-07-24 18:45:16,35.153 °C,35.100 °C,35.100 °C,30.3 %RH,30.3 %RH,30.3 %RH
1019,2014-07-24 18:45:46,35.099 °C,35.049 °C,35.049 °C,30.3 %RH,30.3 %RH,30.3 %RH
1020,2014-07-24 18:46:16,35.046 °C,34.995 °C,34.995 °C,30.3 %RH,30.3 %RH,30.3 %RH
